velocity_ms,lateral_accel_ms2,max_accel_ms2,max_brake_ms2
4,10,0,-14.0168
4,11,0,-13.246
4,12,0,-12.3466
4,13,0,-11.288
4,14,0,-10.0197
4,15,0,-8.44769
4,16,0,-6.35006
4,17,0,-2.69316
4,18,0,-0.00959123
4,19,0,-0.00959123
4,20,0,-0.00959123
4,21,0,-0.00959123
4,22,0,-0.00959123
4,23,0,-0.00959123
4,24,0,-0.00959123
4,25,0,-0.00959123
4,26,0,-0.00959123
4,27,0,-0.00959123
4,28,0,-0.00959123
4,29,0,-0.00959123
4,30,0,-0.00959123
4,31,0,-0.00959123
4,32,0,-0.00959123
4,33,0,-0.00959123
4,34,0,-0.00959123
4,35,0,-0.00959123
4,36,0,-0.00959123
4,37,0,-0.00959123
4,38,0,-0.00959123
4,39,0,-0.00959123
4,40,0,-0.00959123
4,41,0,-0.00959123
4,42,0,-0.00959123
4,43,0,-0.00959123
4,44,0,-0.00959123
4,45,0,-0.00959123
4,46,0,-0.00959123
4,47,0,-0.00959123
4,48,0,-0.00959123
4,49,0,-0.00959123
4,50,0,-0.00959123
4.5,0,0,-17.2324
4.5,1,0,-17.2033
4.5,2,0,-17.1158
4.5,3,0,-16.969
4.5,4,0,-16.7614
4.5,5,0,-16.4905
4.5,6,0,-16.1533
4.5,7,0,-15.7454
4.5,8,0,-15.2613
4.5,9,0,-14.6933
4.5,10,0,-14.0313
4.5,11,0,-13.2612
4.5,12,0,-12.3627
4.5,13,0,-11.3053
4.5,14,0,-10.0389
4.5,15,0,-8.47006
4.5,16,0,-6.37896
4.5,17,0,-2.75739
4.5,18,0,-0.0121389
4.5,19,0,-0.0121389
4.5,20,0,-0.0121389
4.5,21,0,-0.0121389
4.5,22,0,-0.0121389
4.5,23,0,-0.0121389
4.5,24,0,-0.0121389
4.5,25,0,-0.0121389
4.5,26,0,-0.0121389
4.5,27,0,-0.0121389
4.5,28,0,-0.0121389
4.5,29,0,-0.0121389
4.5,30,0,-0.0121389
4.5,31,0,-0.0121389
4.5,32,0,-0.0121389
4.5,33,0,-0.0121389
4.5,34,0,-0.0121389
4.5,35,0,-0.0121389
4.5,36,0,-0.0121389
4.5,37,0,-0.0121389
4.5,38,0,-0.0121389
4.5,39,0,-0.0121389
4.5,40,0,-0.0121389
4.5,41,0,-0.0121389
4.5,42,0,-0.0121389
4.5,43,0,-0.0121389
4.5,44,0,-0.0121389
4.5,45,0,-0.0121389
4.5,46,0,-0.0121389
4.5,47,0,-0.0121389
4.5,48,0,-0.0121389
4.5,49,0,-0.0121389
4.5,50,0,-0.0121389
5,0,0,-17.2461
5,1,0,-17.217
5,2,0,-17.1296
5,3,0,-16.9829
5,4,0,-16.7754
5,5,0,-16.5047
5,6,0,-16.1677
5,7,0,-15.7602
5,8,0,-15.2764
5,9,0,-14.7089
5,10,0,-14.0475
5,11,0,-13.2781
5,12,0,-12.3807
5,13,0,-11.3248
5,14,0,-10.0604
5,15,0,-8.49501
5,16,0,-6.41114
5,17,0,-2.8276
5,18,0,-0.0149863
5,19,0,-0.0149863
5,20,0,-0.0149863
5,21,0,-0.0149863
5,22,0,-0.0149863
5,23,0,-0.0149863
5,24,0,-0.0149863
5,25,0,-0.0149863
5,26,0,-0.0149863
5,27,0,-0.0149863
5,28,0,-0.0149863
5,29,0,-0.0149863
5,30,0,-0.0149863
5,31,0,-0.0149863
5,32,0,-0.0149863
5,33,0,-0.0149863
5,34,0,-0.0149863
5,35,0,-0.0149863
5,36,0,-0.0149863
5,37,0,-0.0149863
5,38,0,-0.0149863
5,39,0,-0.0149863
5,40,0,-0.0149863
5,41,0,-0.0149863
5,42,0,-0.0149863
5,43,0,-0.0149863
5,44,0,-0.0149863
5,45,0,-0.0149863
5,46,0,-0.0149863
5,47,0,-0.0149863
5,48,0,-0.0149863
5,49,0,-0.0149863
5,50,0,-0.0149863
5.5,0,0,-17.2612
5.5,1,0,-17.2322
5.5,2,0,-17.1449
5.5,3,0,-16.9983
5.5,4,0,-16.7909
5.5,5,0,-16.5204
5.5,6,0,-16.1837
5.5,7,0,-15.7765
5.5,8,0,-15.2931
5.5,9,0,-14.7261
5.5,10,0,-14.0654
5.5,11,0,-13.2969
5.5,12,0,-12.4006
5.5,13,0,-11.3462
5.5,14,0,-10.0842
5.5,15,0,-8.52253
5.5,16,0,-6.44657
5.5,17,0,-2.90341
5.5,18,0,-0.0181334
5.5,19,0,-0.0181334
5.5,20,0,-0.0181334
5.5,21,0,-0.0181334
5.5,22,0,-0.0181334
5.5,23,0,-0.0181334
5.5,24,0,-0.0181334
5.5,25,0,-0.0181334
5.5,26,0,-0.0181334
5.5,27,0,-0.0181334
5.5,28,0,-0.0181334
5.5,29,0,-0.0181334
5.5,30,0,-0.0181334
5.5,31,0,-0.0181334
5.5,32,0,-0.0181334
5.5,33,0,-0.0181334
5.5,34,0,-0.0181334
5.5,35,0,-0.0181334
5.5,36,0,-0.0181334
5.5,37,0,-0.0181334
5.5,38,0,-0.0181334
5.5,39,0,-0.0181334
5.5,40,0,-0.0181334
5.5,41,0,-0.0181334
5.5,42,0,-0.0181334
5.5,43,0,-0.0181334
5.5,44,0,-0.0181334
5.5,45,0,-0.0181334
5.5,46,0,-0.0181334
5.5,47,0,-0.0181334
5.5,48,0,-0.0181334
5.5,49,0,-0.0181334
5.5,50,0,-0.0181334
6,0,0,-17.2778
6,1,0,-17.2488
6,2,0,-17.1615
6,3,0,-17.0151
6,4,0,-16.8078
6,5,0,-16.5376
6,6,0,-16.2012
6,7,0,-15.7943
6,8,0,-15.3114
6,9,0,-14.745
6,10,0,-14.085
6,11,0,-13.3174
6,12,0,-12.4223
6,13,0,-11.3696
6,14,0,-10.1101
6,15,0,-8.55261
6,16,0,-6.48521
6,17,0,-2.98444
6,18,0,-0.0215803
6,19,0,-0.0215803
6,20,0,-0.0215803
6,21,0,-0.0215803
6,22,0,-0.0215803
6,23,0,-0.0215803
6,24,0,-0.0215803
6,25,0,-0.0215803
6,26,0,-0.0215803
6,27,0,-0.0215803
6,28,0,-0.0215803
6,29,0,-0.0215803
6,30,0,-0.0215803
6,31,0,-0.0215803
6,32,0,-0.0215803
6,33,0,-0.0215803
6,34,0,-0.0215803
6,35,0,-0.0215803
6,36,0,-0.0215803
6,37,0,-0.0215803
6,38,0,-0.0215803
6,39,0,-0.0215803
6,40,0,-0.0215803
6,41,0,-0.0215803
6,42,0,-0.0215803
6,43,0,-0.0215803
6,44,0,-0.0215803
6,45,0,-0.0215803
6,46,0,-0.0215803
6,47,0,-0.0215803
6,48,0,-0.0215803
6,49,0,-0.0215803
6,50,0,-0.0215803
6.5,0,0,-17.2959
6.5,1,0,-17.2669
6.5,2,0,-17.1797
6.5,3,0,-17.0333
6.5,4,0,-16.8263
6.5,5,0,-16.5563
6.5,6,0,-16.2201
6.5,7,0,-15.8137
6.5,8,0,-15.3313
6.5,9,0,-14.7655
6.5,10,0,-14.1062
6.5,11,0,-13.3397
6.5,12,0,-12.446
6.5,13,0,-11.3951
6.5,14,0,-10.1383
6.5,15,0,-8.58523
6.5,16,0,-6.52702
6.5,17,0,-3.07032
6.5,18,0,-0.0253268
6.5,19,0,-0.0253268
6.5,20,0,-0.0253268
6.5,21,0,-0.0253268
6.5,22,0,-0.0253268
6.5,23,0,-0.0253268
6.5,24,0,-0.0253268
6.5,25,0,-0.0253268
6.5,26,0,-0.0253268
6.5,27,0,-0.0253268
6.5,28,0,-0.0253268
6.5,29,0,-0.0253268
6.5,30,0,-0.0253268
6.5,31,0,-0.0253268
6.5,32,0,-0.0253268
6.5,33,0,-0.0253268
6.5,34,0,-0.0253268
6.5,35,0,-0.0253268
6.5,36,0,-0.0253268
6.5,37,0,-0.0253268
6.5,38,0,-0.0253268
6.5,39,0,-0.0253268
6.5,40,0,-0.0253268
6.5,41,0,-0.0253268
6.5,42,0,-0.0253268
6.5,43,0,-0.0253268
6.5,44,0,-0.0253268
6.5,45,0,-0.0253268
6.5,46,0,-0.0253268
6.5,47,0,-0.0253268
6.5,48,0,-0.0253268
6.5,49,0,-0.0253268
6.5,50,0,-0.0253268
7,0,0,-17.3154
7,1,0,-17.2864
7,2,0,-17.1993
7,3,0,-17.053
7,4,0,-16.8462
7,5,0,-16.5764
7,6,0,-16.2406
7,7,0,-15.8346
7,8,0,-15.3527
7,9,0,-14.7876
7,10,0,-14.1292
7,11,0,-13.3637
7,12,0,-12.4714
7,13,0,-11.4226
7,14,0,-10.1687
7,15,0,-8.62037
7,16,0,-6.57194
7,17,0,-3.1607
7,18,0,-0.0293731
7,19,0,-0.0293731
7,20,0,-0.0293731
7,21,0,-0.0293731
7,22,0,-0.0293731
7,23,0,-0.0293731
7,24,0,-0.0293731
7,25,0,-0.0293731
7,26,0,-0.0293731
7,27,0,-0.0293731
7,28,0,-0.0293731
7,29,0,-0.0293731
7,30,0,-0.0293731
7,31,0,-0.0293731
7,32,0,-0.0293731
7,33,0,-0.0293731
7,34,0,-0.0293731
7,35,0,-0.0293731
7,36,0,-0.0293731
7,37,0,-0.0293731
7,38,0,-0.0293731
7,39,0,-0.0293731
7,40,0,-0.0293731
7,41,0,-0.0293731
7,42,0,-0.0293731
7,43,0,-0.0293731
7,44,0,-0.0293731
7,45,0,-0.0293731
7,46,0,-0.0293731
7,47,0,-0.0293731
7,48,0,-0.0293731
7,49,0,-0.0293731
7,50,0,-0.0293731
7.5,0,0,-17.3363
7.5,1,0,-17.3074
7.5,2,0,-17.2203
7.5,3,0,-17.0742
7.5,4,0,-16.8676
7.5,5,0,-16.5981
7.5,6,0,-16.2627
7.5,7,0,-15.8571
7.5,8,0,-15.3758
7.5,9,0,-14.8114
7.5,10,0,-14.1539
7.5,11,0,-13.3896
7.5,12,0,-12.4988
7.5,13,0,-11.4521
7.5,14,0,-10.2012
7.5,15,0,-8.65801
7.5,16,0,-6.61995
7.5,17,0,-3.25527
7.5,18,0,-0.0337192
7.5,19,0,-0.0337192
7.5,20,0,-0.0337192
7.5,21,0,-0.0337192
7.5,22,0,-0.0337192
7.5,23,0,-0.0337192
7.5,24,0,-0.0337192
7.5,25,0,-0.0337192
7.5,26,0,-0.0337192
7.5,27,0,-0.0337192
7.5,28,0,-0.0337192
7.5,29,0,-0.0337192
7.5,30,0,-0.0337192
7.5,31,0,-0.0337192
7.5,32,0,-0.0337192
7.5,33,0,-0.0337192
7.5,34,0,-0.0337192
7.5,35,0,-0.0337192
7.5,36,0,-0.0337192
7.5,37,0,-0.0337192
7.5,38,0,-0.0337192
7.5,39,0,-0.0337192
7.5,40,0,-0.0337192
7.5,41,0,-0.0337192
7.5,42,0,-0.0337192
7.5,43,0,-0.0337192
7.5,44,0,-0.0337192
7.5,45,0,-0.0337192
7.5,46,0,-0.0337192
7.5,47,0,-0.0337192
7.5,48,0,-0.0337192
7.5,49,0,-0.0337192
7.5,50,0,-0.0337192
8,0,0,-17.3586
8,1,0,-17.3297
8,2,0,-17.2428
8,3,0,-17.0968
8,4,0,-16.8904
8,5,0,-16.6212
8,6,0,-16.2862
8,7,0,-15.8811
8,8,0,-15.4004
8,9,0,-14.8367
8,10,0,-14.1802
8,11,0,-13.4171
8,12,0,-12.528
8,13,0,-11.4835
8,14,0,-10.236
8,15,0,-8.69813
8,16,0,-6.67098
8,17,0,-3.35372
8,18,0,-0.0383649
8,19,0,-0.0383649
8,20,0,-0.0383649
8,21,0,-0.0383649
8,22,0,-0.0383649
8,23,0,-0.0383649
8,24,0,-0.0383649
8,25,0,-0.0383649
8,26,0,-0.0383649
8,27,0,-0.0383649
8,28,0,-0.0383649
8,29,0,-0.0383649
8,30,0,-0.0383649
8,31,0,-0.0383649
8,32,0,-0.0383649
8,33,0,-0.0383649
8,34,0,-0.0383649
8,35,0,-0.0383649
8,36,0,-0.0383649
8,37,0,-0.0383649
8,38,0,-0.0383649
8,39,0,-0.0383649
8,40,0,-0.0383649
8,41,0,-0.0383649
8,42,0,-0.0383649
8,43,0,-0.0383649
8,44,0,-0.0383649
8,45,0,-0.0383649
8,46,0,-0.0383649
8,47,0,-0.0383649
8,48,0,-0.0383649
8,49,0,-0.0383649
8,50,0,-0.0383649
8.5,0,0,-17.3824
8.5,1,0,-17.3536
8.5,2,0,-17.2667
8.5,3,0,-17.1209
8.5,4,0,-16.9147
8.5,5,0,-16.6459
8.5,6,0,-16.3112
8.5,7,0,-15.9066
8.5,8,0,-15.4266
8.5,9,0,-14.8637
8.5,10,0,-14.2082
8.5,11,0,-13.4465
8.5,12,0,-12.5591
8.5,13,0,-11.517
8.5,14,0,-10.2729
8.5,15,0,-8.74071
8.5,16,0,-6.72499
8.5,17,0,-3.45576
8.5,18,0,-0.0433104
8.5,19,0,-0.0433104
8.5,20,0,-0.0433104
8.5,21,0,-0.0433104
8.5,22,0,-0.0433104
8.5,23,0,-0.0433104
8.5,24,0,-0.0433104
8.5,25,0,-0.0433104
